epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,22263.2,0.79179,1.48841,0.75446,0.91315,0.65538,0.62541,0.61437,0.52596,0.60343,0.61895,0.60171,0.52241,1.40122,1.8433,1.14393,1.01609,0.0088813,0.0088813,0.0088813
115,22464.7,0.80438,1.51585,0.76544,0.91118,0.66518,0.61803,0.61313,0.52441,0.59686,0.62941,0.6043,0.52257,1.40291,1.84467,1.15225,1.01214,0.0088714,0.0088714,0.0088714
116,22663,0.81702,1.53923,0.76861,0.91757,0.65616,0.62321,0.60994,0.5241,0.6052,0.61295,0.59998,0.52351,1.39344,1.85623,1.14938,1.00842,0.0088615,0.0088615,0.0088615
117,22862.2,0.81423,1.48742,0.7642,0.90885,0.66246,0.63203,0.6152,0.52705,0.60443,0.62811,0.60322,0.52448,1.38738,1.84731,1.13433,1.004,0.0088516,0.0088516,0.0088516
118,23065.3,0.82559,1.53694,0.77956,0.91861,0.65384,0.62496,0.61992,0.52516,0.60871,0.61541,0.60487,0.52518,1.39187,1.82531,1.12821,1.00602,0.0088417,0.0088417,0.0088417
119,23266.9,0.80416,1.4871,0.75452,0.90757,0.6681,0.62958,0.61947,0.52824,0.62664,0.62615,0.61052,0.52477,1.38245,1.81303,1.11755,1.00038,0.0088318,0.0088318,0.0088318
120,23467,0.78969,1.47831,0.7419,0.90787,0.66852,0.6305,0.62008,0.5271,0.60651,0.62954,0.60738,0.52628,1.38156,1.81956,1.13278,1.00194,0.0088219,0.0088219,0.0088219
121,23668.3,0.809,1.51615,0.74583,0.91101,0.66257,0.62661,0.61523,0.5263,0.61808,0.62055,0.60611,0.52456,1.38071,1.8169,1.12651,1.00118,0.008812,0.008812,0.008812
122,23867,0.80478,1.50439,0.74973,0.91394,0.66426,0.62586,0.61533,0.5255,0.63096,0.6198,0.6077,0.52552,1.37916,1.82145,1.13638,1.00491,0.0088021,0.0088021,0.0088021
123,24066.6,0.80785,1.49017,0.74702,0.91096,0.66633,0.62405,0.61531,0.5255,0.62769,0.61725,0.60916,0.52596,1.39547,1.83498,1.12976,1.01362,0.0087922,0.0087922,0.0087922
124,24266.4,0.82138,1.51305,0.765,0.90993,0.66551,0.62271,0.61739,0.52499,0.61741,0.62711,0.61119,0.52423,1.39395,1.82217,1.13353,1.00996,0.0087823,0.0087823,0.0087823
